查看方式|View mode|表示モード|보기 모드
缩放|Zoom|ズーム|확대/축소
图像|Image|画像|이미지
排序|Sort|並べ替え|정렬
浏览|Browse|閲覧|탐색
动图|Animation|アニメーション|애니메이션
文件操作|File operations|ファイル操作|파일 작업
界面|Interface|インターフェース|인터페이스
窗口|Window|ウィンドウ|창
{0} 张图片|{0} images|画像 {0} 枚|이미지 {0}개
快捷键|Keyboard shortcuts|ショートカット|단축키
关闭|Close|閉じる|닫기
窗口与启动|Window & startup|ウィンドウと起動|창 및 시작
外观|Appearance|外観|모양
查看|Viewing|表示|보기
拼页与滚动|Layout & scrolling|ページ配置とスクロール|배치 및 스크롤
动画与过渡|Animation & transitions|アニメと切り替え|애니메이션 및 전환
鼠标|Mouse|マウス|마우스
性能|Performance|パフォーマンス|성능
文件|Files|ファイル|파일
解码器|Decoders|デコーダー|디코더
关于|About|このアプリについて|정보
设置|Settings|設定|설정
改动会自动同步到看图窗口|Changes sync automatically to the viewer|変更はビューアーに自動で同期されます|변경 사항이 뷰어에 자동으로 동기화됩니다
关闭 (Esc)|Close (Esc)|閉じる (Esc)|닫기 (Esc)
最小化|Minimize|最小化|최소화
最大化 / 还原|Maximize / Restore|最大化 / 元に戻す|최대화 / 복원
关闭窗口 (Esc)|Close window (Esc)|ウィンドウを閉じる (Esc)|창 닫기 (Esc)
启动位置|Startup position|起動時の位置|시작 위치
窗口启动方式|Window placement|起動時の配置|시작 시 창 배치
默认宽度|Default width|既定の幅|기본 너비
默认高度|Default height|既定の高さ|기본 높이
启动时全屏|Start in fullscreen|全画面で起動|전체 화면으로 시작
窗口置顶|Always on top|最前面に表示|항상 위에 표시
多开行为|Multiple instances|複数起動|다중 실행
从文件管理器打开图片时|When opening from a file manager|ファイル管理ソフトから開くとき|파일 관리자에서 열 때
复用已有窗口时直接切换图片；新窗口模式会为每次打开启动独立进程。|Reuse switches the image in the existing window; new-window mode starts a separate process each time.|既存ウィンドウでは画像を切り替えます。新規ウィンドウでは毎回別のプロセスを起動します。|기존 창 재사용 시 이미지를 전환하며, 새 창 모드에서는 매번 별도 프로세스를 시작합니다.
恢复上次|Restore session|前回の状態を復元|이전 세션 복원
记住上次打开的文件夹|Remember last folder|最後のフォルダーを記憶|마지막 폴더 기억
启动时恢复上次的图片|Restore last image on startup|起動時に最後の画像を復元|시작 시 마지막 이미지 복원
主题|Theme|テーマ|테마
主题模式|Theme mode|テーマモード|테마 모드
画布背景|Canvas background|キャンバスの背景|캔버스 배경
界面圆角|Corner radius|角の丸み|모서리 둥글기
字体大小|Font size|文字サイズ|글꼴 크기
标题栏|Title bar|タイトルバー|제목 표시줄
自动隐藏标题栏（靠近顶部显示）|Auto-hide title bar (show near top)|タイトルバーを自動で隠す（上端で表示）|제목 표시줄 자동 숨김 (상단에서 표시)
标题栏高度|Title bar height|タイトルバーの高さ|제목 표시줄 높이
离开后多久隐藏|Hide delay after leaving|離れてから隠すまでの時間|벗어난 후 숨김 지연
状态悬浮窗|Status overlay|ステータスパネル|상태 패널
显示状态悬浮窗|Show status overlay|ステータスパネルを表示|상태 패널 표시
悬浮窗位置|Overlay position|パネルの位置|패널 위치
悬浮窗不透明度|Overlay opacity|パネルの不透明度|패널 불투명도
其他界面|Other UI options|その他の表示|기타 인터페이스
显示缩略图栏|Show filmstrip|サムネイルバーを表示|썸네일 막대 표시
缩略图栏高度|Filmstrip height|サムネイルバーの高さ|썸네일 막대 높이
网格缩略图大小|Grid thumbnail size|一覧のサムネイルサイズ|격자 썸네일 크기
显示中部浮层提示 (HUD)|Show on-screen messages (HUD)|画面上の通知を表示 (HUD)|화면 알림 표시 (HUD)
提示显示时长|Message duration|通知の表示時間|알림 표시 시간
全屏时自动隐藏鼠标|Auto-hide cursor in fullscreen|全画面でカーソルを自動で隠す|전체 화면에서 커서 자동 숨김
右键菜单显示图标|Show context menu icons|右クリックメニューにアイコンを表示|컨텍스트 메뉴 아이콘 표시
默认查看方式|Default view mode|既定の表示モード|기본 보기 모드
打开图片时使用|When opening an image|画像を開くとき|이미지를 열 때
记住最后使用的查看方式|Remember last view mode|最後の表示モードを記憶|마지막 보기 모드 기억
缩放插值|Zoom interpolation|補間方式|확대/축소 보간
每次缩放倍率|Zoom step factor|ズーム倍率の刻み|확대/축소 단계 배율
最小缩放|Minimum zoom|最小倍率|최소 배율
最大缩放|Maximum zoom|最大倍率|최대 배율
放大小于窗口的图片|Upscale small images|小さい画像を拡大|작은 이미지 확대
图片小于窗口时居中|Center small images|小さい画像を中央に表示|작은 이미지 가운데 표시
平移|Panning|パン|이동
拖动惯性|Drag inertia|ドラッグの慣性|드래그 관성
键盘平移步长|Keyboard pan step|キー操作の移動量|키보드 이동 간격
双击动作|Double-click action|ダブルクリック時の動作|두 번 클릭 동작
到头后循环到另一端|Wrap around at the ends|端に達したら反対側に戻る|끝에 도달하면 반대쪽으로 순환
应用 EXIF 方向（手机照片自动转正）|Apply EXIF orientation (auto-rotate photos)|EXIF の向きを適用（写真を自動回転）|EXIF 방향 적용 (사진 자동 회전)
双页模式|Two-page mode|見開きモード|두 페이지 모드
阅读方向|Reading direction|読む方向|읽기 방향
首页单独显示（封面）|Show first page alone (cover)|最初のページを単独表示（表紙）|첫 페이지 단독 표시 (표지)
双页间距|Page gap|見開きの間隔|페이지 간격
漫画 / 长图模式|Comic / long image mode|漫画 / 縦長画像モード|만화 / 긴 이미지 모드
图片间距|Image gap|画像の間隔|이미지 간격
滚轮滚动步长|Mouse wheel scroll step|ホイールのスクロール量|휠 스크롤 간격
平滑滚动（键盘 / 菜单）|Smooth scrolling (keyboard / menu)|スムーズスクロール（キー / メニュー）|부드러운 스크롤 (키보드 / 메뉴)
鼠标滚轮平滑滚动|Smooth mouse wheel scrolling|ホイールのスムーズスクロール|부드러운 마우스 휠 스크롤
滚轮平滑时长|Wheel smoothing duration|ホイールのアニメーション時間|휠 스크롤 애니메이션 시간
预加载屏数|Screens to preload|先読みする画面数|미리 불러올 화면 수
切换图片过渡动画|Image transitions|画像切り替え効果|이미지 전환 효과
动画类型|Transition type|効果の種類|전환 유형
动画时长|Animation duration|アニメーション時間|애니메이션 시간
动图 (GIF / APNG / 动画 WebP)|Animated images (GIF / APNG / WebP)|アニメ画像 (GIF / APNG / WebP)|움직이는 이미지 (GIF / APNG / WebP)
打开后自动播放|Autoplay on opening|開いたら自動再生|열 때 자동 재생
播放速度|Playback speed|再生速度|재생 속도
最多缓存帧数|Maximum cached frames|キャッシュする最大フレーム数|최대 캐시 프레임 수
鼠标与滚轮（每种查看方式独立设置）|Mouse & wheel (per view mode)|マウスとホイール（表示モード別）|마우스 및 휠 (보기 모드별 설정)
滚轮|Mouse wheel|ホイール|마우스 휠
Ctrl + 滚轮|Ctrl + Wheel|Ctrl + ホイール|Ctrl + 휠
Shift + 滚轮|Shift + Wheel|Shift + ホイール|Shift + 휠
Alt + 滚轮|Alt + Wheel|Alt + ホイール|Alt + 휠
拖动图片使用|Drag image with|画像のドラッグに使用|이미지 드래그 버튼
反转滚轮方向|Invert wheel direction|ホイール方向を反転|휠 방향 반전
作用范围|Scope|適用範囲|적용 범위
全局（所有查看方式）|Global (all view modes)|全体（すべての表示モード）|전역 (모든 보기 모드)
全部恢复默认|Reset all to defaults|すべて既定に戻す|모두 기본값으로 복원
在此查看方式下覆盖全局设置；未覆盖的项显示为组继承值。|Override global shortcuts for this mode. Unchanged entries inherit global bindings.|このモードの全体設定を上書きします。未変更の項目は全体設定を継承します。|이 모드의 전역 단축키를 재정의합니다. 변경하지 않은 항목은 전역 설정을 상속합니다.
未设置|Not set|未設定|설정 안 됨
添加按键|Add shortcut|キーを追加|단축키 추가
恢复默认|Reset to default|既定に戻す|기본값 복원
取消覆盖|Remove override|上書きを解除|재정의 해제
快捷键冲突|Shortcut conflict|ショートカットの競合|단축키 충돌
{0} 已被「{1}」占用，是否抢占？|{0} is assigned to “{1}”. Reassign it?|{0} は「{1}」に割り当て済みです。変更しますか？|{0}은(는) “{1}”에 할당되어 있습니다. 다시 할당할까요?
取消|Cancel|キャンセル|취소
抢占|Reassign|再割り当て|다시 할당
缓存与预取|Cache & prefetch|キャッシュと先読み|캐시 및 미리 가져오기
图片缓存上限|Image cache limit|画像キャッシュ上限|이미지 캐시 한도
预取前后张数|Images to prefetch on each side|前後に先読みする枚数|앞뒤로 미리 가져올 이미지 수
解码|Decoding|デコード|디코딩
单张最大解码边长|Maximum decode dimension|最大デコード辺長|최대 디코딩 변 길이
放大时渐进加载更高清版本|Progressively load higher quality on zoom|拡大時に高画質版を段階的に読み込む|확대 시 고화질 버전을 점진적으로 로드
停止交互后提升画质延迟|Quality upgrade delay after interaction|操作後の画質向上までの遅延|조작 후 화질 향상 지연
当前缓存：{0} 项 / {1} MB\n超大图（>16k 像素）受 GPU 纹理上限限制会自动降采样。|Cache: {0} items / {1} MB\nVery large images (>16k pixels) are downsampled to fit GPU texture limits.|キャッシュ：{0} 件 / {1} MB\n巨大な画像（16k ピクセル超）は GPU の制限に合わせて縮小されます。|캐시: {0}개 / {1} MB\n초대형 이미지 (>16k 픽셀)는 GPU 텍스처 한도에 맞게 축소됩니다.
清空缓存|Clear cache|キャッシュを消去|캐시 비우기
默认排序字段|Default sort field|既定の並べ替え項目|기본 정렬 기준
正序|Ascending|昇順|오름차순
自然排序（img2 在 img10 之前）|Natural sort (img2 before img10)|自然順（img2 を img10 より前に）|자연 정렬 (img2가 img10보다 먼저)
显示隐藏文件|Show hidden files|隠しファイルを表示|숨김 파일 표시
只列出本机能解码的文件|Only list locally decodable files|この PC でデコード可能なファイルのみ表示|이 기기에서 디코딩 가능한 파일만 표시
默认关：认得出是图片就列出来，不会因为解不了而让浏览断档|Off by default: list all recognized images, even without a decoder.|既定ではオフ：デコードできなくても、認識した画像をすべて表示します。|기본값은 꺼짐: 디코더 유무와 관계없이 인식된 모든 이미지를 표시합니다.
删除到回收站|Delete to trash|ゴミ箱に移動|휴지통으로 삭제
删除前确认|Confirm before deleting|削除前に確認|삭제 전 확인
监听文件夹变化自动刷新|Refresh when folder changes|フォルダーの変更時に自動更新|폴더 변경 시 자동 새로 고침
支持打开压缩包 (zip / cbz)|Open archives (zip / cbz)|圧縮ファイルを開く (zip / cbz)|압축 파일 열기 (zip / cbz)
幻灯片|Slideshow|スライドショー|슬라이드 쇼
间隔|Interval|間隔|간격
随机顺序|Random order|ランダム順|무작위 순서
循环播放|Loop playback|繰り返し再生|반복 재생
